ID_REF,GSM1900227,GSM1900236,GSM1900265,GSM1900268,GSM1900271,GSM1900277,GSM1900280,GSM1900302,GSM1900313,GSM1900314,GSM1900321,GSM1900294,GSM1900315,GSM1900316,GSM1900317,GSM1900318,GSM1900319,GSM1900320,GSM1900323,GSM1900324
7892520,9.061620379,9.618086913,9.479794693,9.305322282,8.997541995,9.504532674,9.932056929,9.19832303,9.063945362,9.141764459,9.459762538,8.440533379,8.65215984,9.347661915,9.394652007,8.642326192,9.211070026,9.771746459,9.140006544,9.092464562
7892521,8.327597185,7.813449968,7.715595484,7.323671908,7.830129376,8.104225851,7.291303935,7.57596642,7.830452247,7.896121722,8.315509617,7.64285014,8.026991418,8.02919622,7.685177812,7.601601468,8.145430463,8.142296402,7.90828422,7.761836065
7892522,6.865718642,6.688272723,6.771380958,6.316895922,6.331825447,6.356857867,6.676326322,6.34412399,6.600026084,6.693358059,6.75932135,6.172214299,6.754811777,6.549029393,6.809974835,6.597578402,6.506153802,7.216011484,6.640874095,6.258171637
7892524,5.023492786,4.877788969,5.273980944,5.816525605,4.956502983,6.36054358,5.76212804,5.23881988,5.784777504,6.307495732,6.571239148,5.273210817,5.522470785,5.547830036,5.633337396,5.485035489,6.112338323,7.577550072,4.850543307,5.57993875
7892525,6.591585918,7.093997765,7.203006945,7.268795828,6.29892943,6.718505492,7.042856505,6.73433182,6.37835347,6.533361579,6.889501921,6.791585412,6.605267334,6.451947442,6.467395844,6.598710889,6.847562929,7.152888257,6.212679534,6.302866329
7892526,5.003537642,4.476249179,3.911316001,5.233073544,4.854289633,5.010584788,5.412641039,5.22685225,4.54933886,5.497268582,4.931785949,6.400794765,4.60085731,5.077322151,5.134563254,5.415721011,5.611961121,5.337624896,5.128954188,5.816117846
7892527,7.741362777,7.67931794,7.341753753,7.478659654,8.1807962,8.655259162,7.875731731,7.97762782,7.408035027,8.406987231,8.601783934,8.181879268,7.81204027,7.993965165,7.811930358,7.70832415,8.294249131,8.190493412,7.188028715,8.218574026
7892528,2.587310102,2.410819958,2.687888971,2.466310509,2.515296196,2.683168755,2.36927078,2.58756912,2.66673707,2.569723404,2.679454005,2.701910716,2.635259563,2.452376616,2.4711716,2.543398867,2.432013855,2.848960414,2.560415056,2.463829166
7892529,5.908955386,6.155267892,6.38283653,6.078515526,5.610685711,6.354100306,6.210155999,6.13049138,5.536952196,6.130103269,5.791892289,5.891224769,5.484270985,5.655890869,6.28722567,5.756268206,5.880777295,6.883720855,5.55907117,6.147672458
7892530,7.390828235,6.882704519,6.913342694,8.075205247,8.01373652,8.490771203,8.04283981,8.14670042,7.912819183,8.346403897,8.352187729,7.890390555,7.21188577,8.199455485,7.882704705,7.118898945,8.150535524,7.443736154,5.826684637,8.447523939
7892531,5.825175998,6.364092564,5.979298799,6.247536426,5.749237051,6.248759308,5.532134968,6.0446726,5.924674254,6.387541841,6.445456949,6.062930536,5.684118616,6.001759857,6.164138771,6.563722412,6.318989429,6.183084231,6.143356587,6.488667245
7892532,3.901323959,4.57727968,3.757683598,3.940348908,3.967886741,3.384788229,3.334751064,4.23588816,3.520118436,3.869086319,4.026185028,4.166247227,4.312679971,3.946874603,3.970080167,4.034854195,4.249047898,4.217312999,3.410996272,4.064435073
7892533,7.871820845,8.199429724,8.234155953,7.931989414,7.683852491,8.015192643,8.341542169,7.40482064,7.556788903,7.821940255,8.153281734,7.528413213,6.317407783,7.150762961,8.332823297,6.885960328,7.578236542,7.748000651,6.277438526,7.991397802
7892534,5.397937404,5.343516071,6.058189131,4.607672898,4.732681377,4.619684011,3.698538931,5.21573265,4.829798886,5.24517476,5.956613049,5.471491527,5.381911231,5.966371405,4.845745484,4.968781032,5.277491594,5.769208208,5.219005107,5.198065793
7892535,7.305212048,8.607170677,8.649847988,8.603903839,7.505505448,7.593903974,8.387807252,7.70756935,8.067096708,7.686556522,7.963978289,7.653687322,7.063948323,7.774948485,8.305506404,7.862074773,8.13731702,7.604645749,6.821094289,7.643875342
7892536,11.17136008,11.25534012,10.40188989,10.88440382,11.53662773,11.25370281,11.20932351,11.3031995,11.11698813,11.48371862,11.33420985,11.83268434,11.04012046,11.20220186,11.00068863,11.03852453,11.27315062,10.81855253,10.71251441,11.4424843
7892537,3.548275017,4.907724218,4.761330063,4.086440295,4.265110519,4.397015864,4.258714534,4.21238402,3.495501909,3.757034082,4.466109703,4.467312128,4.482674914,4.055799418,4.880772251,5.575658803,4.786065182,4.393198622,3.862887881,4.942979136
7892538,4.986695576,6.388922917,6.170321959,5.647280109,6.063550939,4.888483612,6.645268013,6.56218547,4.716425854,5.589292367,5.694956347,5.088533673,4.855876481,5.558487746,4.981987203,4.574209036,5.942215678,6.113893632,4.409613129,5.653727989
7892539,4.194463658,4.874694835,4.258721578,4.871068895,5.239162048,4.734489052,3.977081524,4.05390882,4.955036584,5.314380223,3.879802343,4.765705242,4.114767469,5.144213076,4.807290059,5.489215393,5.907520878,5.189148759,4.734925608,4.419808998
7892540,6.074342228,6.408119404,7.098865152,5.457510764,6.202222191,6.629464906,6.393543907,5.90075637,6.39895553,6.415586149,7.164744921,6.185829412,6.474075633,5.410715299,7.303079759,5.782549768,6.81649504,7.334567364,6.221024019,6.131033308
7892541,9.647376627,9.550377611,9.205097886,9.867178048,9.91972761,10.00099131,9.717163165,10.1624431,9.926277714,10.36840015,10.46102374,9.84453472,9.030992213,9.639278434,10.42280637,9.780292151,9.965860979,8.321832469,8.987103769,10.49247461
7892542,9.660560793,9.135595162,9.577349184,9.633577752,9.786286281,9.600479189,9.406437032,9.66238099,9.735381866,9.779427211,9.29846453,10.02053731,9.549671643,9.638140783,9.356507449,9.833280609,9.548002963,9.278736424,9.311819672,9.801363299
7892543,5.736061129,5.479020496,5.828365177,5.553317347,5.510304567,5.619173638,5.537888554,5.61975061,5.250732989,5.852031286,5.170949196,4.887683319,5.735334655,5.454711958,5.720358355,5.665736881,6.188745329,5.620328799,6.015241314,5.24410422
7892544,6.395804094,6.188751214,5.408669351,4.963794012,5.482742729,6.443743488,6.058600216,6.05420617,6.29418798,5.409213391,5.832829765,5.437819239,5.565348844,5.89706013,5.313176442,5.652695983,5.26497384,6.349610596,4.908803242,5.383187733
7892545,6.070296061,5.934563199,5.883549247,5.92464653,5.815144814,5.666585065,5.709895543,6.26803221,6.108327276,5.771857159,6.326270101,5.442849998,5.59779422,6.401373945,6.615090992,5.891016957,6.395585909,6.1123318,6.113122786,5.751836287
7892547,5.529876838,4.632638718,4.775907016,4.618389647,4.283053442,5.245391964,4.96616965,4.88018418,4.873299256,5.200092642,4.479626591,4.471155968,5.652520938,4.957317734,5.409449725,5.495307201,5.463578004,5.788650635,5.368129281,5.027326268
7892548,8.185895635,7.650702824,7.282609129,7.140709499,7.161412094,7.719766792,7.420210952,7.888202,7.311818702,7.319005559,7.868350935,7.141548072,7.717625388,7.796983243,7.359140954,7.202217407,7.571871588,7.822014192,7.340720507,7.344546775
7892549,6.88939237,6.858482101,6.820693467,7.220134439,6.984103147,7.49427246,6.532289927,6.27551513,6.569521771,7.057583605,7.440802016,6.765355307,6.645237113,6.055055494,6.142027572,7.0726637,6.63331511,6.855482546,7.143173299,6.76000589
7892550,6.360400244,6.253533597,5.497331207,5.188018148,5.796983837,6.966499731,5.788559735,6.03746669,6.287434099,5.951155473,6.836062205,5.606637334,6.003976944,6.164482696,6.282693252,6.160687617,6.009266356,6.686522327,6.137243994,6.088013566
7892551,10.26474625,10.66636597,10.41538551,10.45147676,10.02962154,10.76388524,10.70063381,10.541605,10.54889985,10.70513149,10.87989328,10.20394552,10.00400233,10.27311006,10.59106368,10.24567514,10.74051401,10.86088664,10.2764523,10.44861946
