SampleID,condition
GSM1900227,R
GSM1900236,R
GSM1900265,R
GSM1900268,R
GSM1900271,R
GSM1900277,R
GSM1900280,R
GSM1900302,R
GSM1900313,R
GSM1900314,R
GSM1900321,R
GSM1900294,NR
GSM1900315,NR
GSM1900316,NR
GSM1900317,NR
GSM1900318,NR
GSM1900319,NR
GSM1900320,NR
GSM1900323,NR
GSM1900324,NR
